Timestamp_ms,AccX_Filt,AccY_Filt,AccZ_Filt,GyrX_Filt,GyrY_Filt,GyrZ_Filt,MagX_Filt,MagY_Filt,MagZ_Filt
5233,0.0224,0.0404,9.8338,-0.3928,1.6814,0.2091,-38.8800,-78.1650,29.5650
5240,-0.0062,0.0238,9.8339,-0.3938,1.8378,-0.3079,-40.5278,-81.4777,30.8180
5248,0.0100,0.0214,9.8226,0.0945,1.2591,0.2723,-40.9759,-82.3786,31.1588
5256,0.0120,0.0215,9.8268,0.1401,0.8614,0.5480,-40.8120,-82.5617,31.4740
5264,0.0082,0.0296,9.8334,0.2293,0.7700,1.1331,-40.8380,-82.6563,31.6028
5272,0.0186,0.0082,9.8283,0.1441,0.3780,1.0593,-40.4701,-82.5106,31.6129
5280,0.0100,0.0011,9.8039,0.1456,0.2576,0.9975,-40.2979,-82.6063,31.5759
5288,0.0174,-0.0029,9.8027,0.0915,0.0565,1.2189,-40.1198,-82.5773,31.5098
5296,0.0259,0.0004,9.7979,0.1270,-0.0299,1.2928,-39.9711,-82.3006,31.5393
5304,0.0200,-0.0078,9.7922,0.1750,-0.0028,1.1850,-39.8137,-81.9992,31.3838
5312,0.0266,0.0159,9.8018,0.0486,0.1912,0.9600,-39.5558,-81.6128,31.3640
5320,0.0317,0.0259,9.8006,0.0086,0.2438,1.0134,-39.3961,-81.2501,31.3224
5328,0.0333,0.0110,9.8096,-0.0358,0.1343,0.9610,-39.2322,-80.8832,31.2643
5336,0.0239,-0.0002,9.8071,-0.0061,0.0689,1.0419,-39.0654,-80.5136,31.1934
5344,0.0142,0.0081,9.8180,0.0841,-0.0158,0.9838,-38.8766,-80.0433,31.0627
5352,0.0125,0.0021,9.8217,0.0672,0.0717,1.1429,-38.6887,-79.5846,30.9301
5360,0.0243,0.0080,9.8356,-0.0232,0.0991,1.1374,-38.5017,-79.1361,30.7962
5368,0.0309,0.0069,9.8268,0.0127,-0.1423,1.1608,-38.2577,-78.7212,30.7441
5376,0.0229,0.0012,9.8313,0.1072,0.0483,0.9991,-38.0209,-78.3115,30.6825
5384,0.0314,0.0075,9.8269,0.2304,0.0217,1.0031,-37.7679,-77.9440,30.6129
