Timestamp_ms,AccX_Filt,AccY_Filt,AccZ_Filt,GyrX_Filt,GyrY_Filt,GyrZ_Filt,MagX_Filt,MagY_Filt,MagZ_Filt
5233,-0.0870,0.0071,9.8414,-2.3244,-1.7467,-0.5514,10.6650,5.1300,-51.3000
5240,-0.1569,0.0287,9.8392,-2.2693,-0.9291,-0.2179,10.6195,4.3524,-53.6874
5248,-0.1579,0.0505,9.8902,-2.4137,0.1591,-0.0248,11.0507,4.7874,-54.2568
5256,-0.1274,0.0257,9.8233,-2.9308,0.0916,-0.2039,11.2442,4.9990,-54.4130
5264,-0.1414,0.0218,9.8171,-3.3653,0.1127,-0.2007,10.8997,4.9717,-54.1952
5272,-0.1525,-0.0173,9.8207,-3.5320,0.2405,-0.3641,11.0440,4.9214,-54.0340
5280,-0.1283,-0.0433,9.8425,-3.0889,0.2786,-0.2312,11.0483,4.9213,-53.8430
5288,-0.1405,-0.0360,9.8291,-2.7394,0.0945,-0.4699,11.0941,4.8602,-53.8924
5296,-0.1418,-0.0347,9.8437,-2.3459,0.0567,0.0084,11.1185,4.8078,-53.8727
5304,-0.1386,-0.0397,9.8429,-2.2097,-0.0702,-0.2119,11.1279,4.7614,-53.8050
5312,-0.1412,-0.0323,9.8284,-1.7600,-0.0917,-0.0497,11.0994,4.7872,-53.5945
5320,-0.1372,-0.0190,9.8288,-1.8120,-0.0108,-0.2272,11.0673,4.8052,-53.3763
5328,-0.1286,-0.0209,9.8249,-1.7636,0.0015,-0.0540,10.9293,4.7142,-53.1755
5336,-0.1288,-0.0266,9.8195,-1.6442,0.0412,-0.1714,10.8040,4.6331,-52.9674
5344,-0.1301,-0.0271,9.8309,-1.5171,-0.0897,-0.2508,10.6887,4.5601,-52.7538
5352,-0.1227,-0.0265,9.8380,-1.2781,-0.0823,-0.2989,10.6191,4.5029,-52.4522
5360,-0.1157,-0.0358,9.8257,-0.9861,-0.1051,-0.3584,10.6834,4.4940,-52.2625
5368,-0.1129,-0.0392,9.8302,-0.8497,-0.1376,-0.0893,10.7019,4.4341,-52.1415
5376,-0.1033,-0.0389,9.8309,-0.6724,-0.0814,-0.0800,10.7132,4.3784,-52.0078
5384,-0.1084,-0.0395,9.8390,-0.6396,-0.0267,-0.1845,10.6887,4.3337,-51.7962
5392,-0.0984,-0.0434,9.8323,-0.6462,0.0378,-0.3344,10.6619,4.3627,-51.5680
5400,-0.1067,-0.0399,9.8364,-0.6843,0.1322,-0.3188,10.5992,4.3397,-51.3052
5408,-0.0993,-0.0381,9.8379,-0.6257,0.1740,-0.4119,10.5378,4.3170,-51.0450
5416,-0.1024,-0.0356,9.8308,-0.5987,-0.0078,-0.3927,10.4775,4.2947,-50.7872
5424,-0.0977,-0.0467,9.8171,-0.5307,-0.0996,-0.4678,10.4423,4.2487,-50.5258
5432,-0.0982,-0.0461,9.8204,-0.5066,-0.0056,-0.2640,10.4063,4.2049,-50.2672
5440,-0.0930,-0.0410,9.8238,-0.5322,0.0209,-0.3048,10.3917,4.1851,-50.0055
5448,-0.0958,-0.0460,9.8269,-0.4962,-0.0677,-0.2610,10.3749,4.1655,-49.7467
5456,-0.1065,-0.0487,9.8274,-0.4532,-0.0761,-0.3163,10.3459,4.1769,-49.5474
