Timestamp_ms,AccX_Filt,AccY_Filt,AccZ_Filt,GyrX_Filt,GyrY_Filt,GyrZ_Filt,MagX_Filt,MagY_Filt,MagZ_Filt
5233,-0.0978,-0.0337,9.7647,-0.0687,-3.2653,0.0085,3.1050,-60.3450,-63.3150
5240,-0.0432,-0.0075,9.7717,0.2051,-2.2384,0.3129,3.8762,-63.6843,-65.3587
5248,-0.0474,-0.0051,9.7870,0.0322,-0.9580,0.0281,4.1368,-64.6546,-65.8637
5256,-0.0285,-0.0113,9.7861,0.2673,-0.6530,0.2071,3.6036,-64.7348,-65.9574
5264,-0.0403,-0.0030,9.7896,0.4459,-0.4694,0.6971,3.4495,-64.4502,-66.1479
5272,-0.0249,-0.0077,9.8075,0.8549,-0.4189,0.7561,3.3406,-64.1535,-66.1673
5280,-0.0329,0.0065,9.8075,0.7107,-0.4899,0.7449,3.2578,-64.1675,-65.9198
5288,-0.0230,-0.0120,9.7956,0.4050,-0.4803,0.7837,3.1915,-64.1000,-65.6532
5296,-0.0170,0.0031,9.7953,0.4349,-0.5719,0.7857,3.1362,-63.9787,-65.3746
5304,-0.0225,0.0172,9.8065,0.2916,-0.7807,0.8968,3.1185,-63.7310,-65.0436
5312,-0.0288,0.0042,9.7842,0.3098,-0.6742,0.9882,3.1012,-63.4727,-64.7157
5320,-0.0253,0.0207,9.7929,0.2482,-0.6674,0.8173,3.0842,-63.2070,-64.3905
5328,-0.0223,0.0114,9.7993,0.4787,-0.5689,0.8983,3.1019,-62.8902,-64.1022
5336,-0.0202,0.0127,9.7909,0.4885,-0.4695,0.7742,2.9766,-62.6506,-63.8541
5344,-0.0234,0.0209,9.7835,0.5706,-0.2586,0.8084,2.7770,-62.3341,-63.6386
5352,-0.0005,0.0356,9.7919,0.5947,-0.2085,0.6634,2.7315,-62.1326,-63.4034
5360,0.0076,0.0373,9.7950,0.4652,-0.2563,0.7609,2.6900,-61.9208,-63.1611
5368,0.0055,0.0364,9.7953,0.4501,-0.2709,0.6709,2.7182,-61.6841,-62.7971
5376,0.0023,0.0255,9.7912,0.4015,-0.3151,0.7258,2.6796,-61.3796,-62.5118
5384,-0.0015,0.0320,9.8009,0.3612,-0.2799,0.5575,2.7409,-61.0625,-62.2487
5392,-0.0021,0.0325,9.8006,0.3354,-0.2077,0.5173,2.7598,-60.7704,-61.9482
5400,0.0081,0.0424,9.8078,0.4042,-0.1204,0.3385,2.7761,-60.4798,-61.6495
5408,0.0140,0.0461,9.8068,0.4085,-0.0679,0.2365,2.7381,-60.1973,-61.3656
5416,0.0123,0.0351,9.8004,0.4057,-0.1414,0.2679,2.7087,-59.9407,-61.0574
5424,0.0099,0.0359,9.8020,0.4263,-0.0634,0.2106,2.6808,-59.6832,-60.7521
5432,-0.0024,0.0245,9.8062,0.4585,-0.0008,0.1770,2.6025,-59.3907,-60.4553
5440,-0.0066,0.0281,9.7985,0.4212,0.0447,0.0113,2.5292,-59.1003,-60.1607
5448,0.0057,0.0368,9.7943,0.4400,-0.0138,0.0427,2.4605,-58.8121,-59.8682
5456,0.0177,0.0310,9.7882,0.4668,0.0216,-0.1486,2.4424,-58.4796,-59.6089
5464,0.0203,0.0312,9.7832,0.3939,0.0947,-0.1376,2.4248,-58.1523,-59.3495
5472,0.0204,0.0259,9.7910,0.3921,0.0572,-0.1516,2.4175,-57.8541,-59.0806
5480,0.0241,0.0156,9.7870,0.3664,0.1509,-0.1107,2.4100,-57.5589,-58.8126
5488,0.0352,0.0113,9.7812,0.3601,0.1559,-0.1524,2.4116,-57.2575,-58.5728
5496,0.0233,0.0216,9.7860,0.4011,0.1342,-0.1594,2.3948,-56.9772,-58.2927
5504,0.0067,0.0190,9.7848,0.3466,0.2596,-0.2417,2.4043,-56.6947,-57.9887
5512,-0.0034,0.0144,9.7870,0.3326,0.2275,-0.1517,2.3793,-56.4146,-57.6880
5520,-0.0051,0.0162,9.7889,0.2792,0.2489,-0.2390,2.3553,-56.1206,-57.3985
5528,-0.0090,0.0265,9.7934,0.2258,0.2521,-0.2902,2.3399,-55.8692,-57.1196
5536,-0.0076,0.0339,9.7998,0.2206,0.1812,-0.3615,2.3404,-55.5956,-56.8581
5544,-0.0176,0.0375,9.7955,0.0943,0.2101,-0.3246,2.3065,-55.3204,-56.6016
5552,-0.0066,0.0357,9.7925,0.2075,0.1840,-0.2727,2.2739,-55.0475,-56.3463
5560,-0.0136,0.0327,9.7976,0.1389,0.1398,-0.2038,2.2675,-54.7840,-56.1100
5568,-0.0171,0.0296,9.7912,0.2046,0.0865,-0.1635,2.2540,-54.5153,-55.8636
5576,-0.0176,0.0317,9.7978,0.2005,0.1303,-0.2473,2.2408,-54.2487,-55.6180
5584,-0.0130,0.0296,9.8023,0.1551,0.1470,-0.2467,2.2412,-53.9709,-55.3366
5592,-0.0112,0.0262,9.8019,0.1146,0.1850,-0.2379,2.2412,-53.6956,-55.0576
5600,0.0005,0.0123,9.7928,0.1256,0.1991,-0.2406,2.2409,-53.4228,-54.7812
5608,0.0007,0.0243,9.7970,0.1689,0.1495,-0.2266,2.2560,-53.1840,-54.5166
5616,0.0021,0.0210,9.7998,0.1747,0.1980,-0.1531,2.2701,-52.9462,-54.2540
5624,0.0003,0.0222,9.8069,0.1365,0.1187,-0.1377,2.2743,-52.6945,-54.0084
5632,-0.0037,0.0319,9.8156,0.1082,0.0894,-0.0903,2.2781,-52.4445,-53.7641
5640,-0.0013,0.0265,9.8162,0.0541,0.1049,-0.0587,2.2960,-52.2049,-53.5123
5648,0.0049,0.0299,9.8181,0.0703,0.1387,-0.0394,2.2872,-51.9696,-53.2651
5656,0.0146,0.0293,9.8321,0.0289,0.1439,-0.0969,2.2701,-51.7383,-53.0166
5664,0.0079,0.0219,9.8402,0.0462,0.1082,-0.0273,2.2506,-51.4971,-52.7724
5672,-0.0086,0.0270,9.8353,0.0222,0.1066,-0.0149,2.2316,-51.2575,-52.5298
5680,-0.0263,0.0303,9.8235,-0.0683,0.0727,-0.0004,2.1890,-51.0034,-52.2939
5688,-0.5142,0.0324,9.8060,-0.1088,-0.0109,-0.7282,2.1738,-50.7515,-52.0776
5696,-0.2925,0.0288,9.7838,-0.1043,0.0709,-1.6091,2.1460,-50.5015,-51.8490
5704,-0.1729,0.0429,9.7751,-0.0247,0.0602,-2.0869,2.1316,-50.2863,-51.5964
5712,-0.2419,0.0328,9.7941,-0.1100,-0.0146,-2.4330,2.1173,-50.0720,-51.3457
5720,-0.3367,0.0374,9.7959,-0.1082,-0.0296,-2.8737,2.1009,-49.8537,-51.1238
5728,-0.3519,0.0288,9.7970,-0.0877,-0.0117,-3.3538,2.0848,-49.6365,-50.9030
5736,-0.3633,0.0228,9.7747,-0.0815,0.0134,-3.8259,2.0618,-49.4155,-50.6832
5744,-0.4174,0.0179,9.7796,-0.0836,-0.0484,-4.4191,2.0394,-49.1958,-50.4644
5752,-0.4459,0.0152,9.7704,-0.0696,-0.1074,-4.8009,2.0174,-48.9772,-50.2467
5760,-0.4211,0.0187,9.7762,0.0108,-0.1103,-5.2382,1.9936,-48.7508,-50.0391
5768,-0.4578,0.0192,9.7701,0.0261,-0.1344,-5.4175,1.9703,-48.5258,-49.8323
5776,-0.4810,0.0132,9.7673,-0.0263,-0.0262,-5.6666,1.9497,-48.3111,-49.6174
5784,-0.4902,0.0219,9.7797,-0.0041,-0.0541,-5.7307,1.9295,-48.0976,-49.4037
5792,-0.4612,0.0298,9.8074,0.0386,0.0639,-5.8642,1.9183,-47.8981,-49.1781
5800,-0.4723,-0.0004,9.8111,-0.0277,0.0321,-5.9142,1.9093,-47.6761,-48.9519
5808,-0.4572,0.0060,9.8430,-0.0589,-0.0276,-5.8817,1.8691,-47.4598,-48.7271
5816,-0.4769,0.0154,9.8296,-0.0941,0.0356,-6.0004,1.8566,-47.2510,-48.5182
5824,-0.4714,0.0130,9.8239,-0.1705,0.1120,-5.8813,1.8442,-47.0433,-48.3103
5832,-0.5212,0.0121,9.8100,-0.1901,0.1236,-5.9198,1.8381,-46.8348,-48.0874
5840,-0.5397,0.0123,9.8029,-0.1421,-0.0283,-5.8150,1.8319,-46.6215,-47.8799
5848,-0.5379,0.0284,9.8134,-0.1870,-0.2563,-5.7816,1.8238,-46.3861,-47.6617
5856,-0.5749,0.0234,9.8269,-0.1952,-0.3167,-5.5413,1.8119,-46.1778,-47.4487
5864,-0.5701,0.0070,9.8538,-0.1683,-0.3771,-5.2261,1.8001,-45.9708,-47.2371
5872,-0.5681,0.0104,9.8580,-0.0491,-0.3655,-4.9167,1.7885,-45.7708,-47.0135
5880,-0.5367,0.0125,9.8518,0.0996,-0.1194,-4.5996,1.7770,-45.5719,-46.7914
5888,-0.5196,0.0259,9.8553,0.2097,0.1400,-4.3631,1.7601,-45.3594,-46.5764
5896,-0.4942,0.0311,9.8704,0.2642,0.1157,-4.0836,1.7435,-45.1483,-46.3629
5904,-0.4734,0.0572,9.8762,0.4098,-0.0918,-3.8164,1.7272,-44.9388,-46.1507
5912,-0.4847,0.0818,9.9075,0.3221,-0.1994,-3.5876,1.7093,-44.7467,-45.9417
5920,-0.4635,0.0681,9.9007,0.3023,-0.1421,-3.6063,1.6917,-44.5556,-45.7340
5928,-0.4497,0.0743,9.8973,0.2620,-0.2262,-3.5869,1.6848,-44.3813,-45.5258
5936,-0.4450,0.0686,9.9015,0.2609,-0.3625,-3.4695,1.6780,-44.2077,-45.3190
5944,-0.3884,0.0593,9.9057,0.2971,-0.1941,-3.1893,1.6558,-44.0194,-45.1271
5952,-0.3686,0.0167,9.8731,0.5159,0.1297,-3.0787,1.6509,-43.8322,-44.9244
5960,-0.1753,-0.0086,9.8878,0.5597,0.2579,-2.6928,1.6377,-43.6593,-44.7230
5968,-0.0505,-0.0648,9.8656,0.5989,0.3939,-2.3718,1.6329,-43.4706,-44.5310
5976,-0.0127,-0.0642,9.8847,0.4016,0.5372,-1.9716,1.6280,-43.2830,-44.3402
5984,-0.0050,-0.0750,9.8800,0.3250,0.6316,-1.6101,1.6102,-43.1095,-44.1357
5992,0.0235,-0.0578,9.8822,0.3931,0.4604,-1.2245,1.5895,-42.9143,-43.9471
6000,0.0314,-0.0542,9.8847,0.2555,0.5154,-0.7838,1.5770,-42.7378,-43.7595
6008,0.1397,-0.0400,9.8924,0.2360,0.5680,-0.3410,1.5647,-42.5449,-43.5603
6016,0.1052,-0.0750,9.8091,0.2253,0.6024,-0.0777,1.5525,-42.3532,-43.3624
6024,-0.0864,-0.1061,9.6787,0.2151,0.5258,0.2622,1.5358,-42.1813,-43.1688
6032,0.0268,-0.0309,9.6477,0.7921,0.4339,0.5552,1.5194,-42.0102,-42.9764
