Timestamp_ms,AccX_Filt,AccY_Filt,AccZ_Filt,GyrX_Filt,GyrY_Filt,GyrZ_Filt,MagX_Filt,MagY_Filt,MagZ_Filt,GyrX_rad,GyrY_rad,GyrZ_rad,FreeAcc_E,FreeAcc_N,FreeAcc_U
5233,-0.0978,-0.0337,9.7647,-0.0687,-3.2653,0.0085,3.105,-60.345,-63.315,-0.0011990411961201044,-0.05699023606537084,0.000148352986419518,-0.08748152963459507,-0.0285169834509878,-0.035185593999871756
5240,-0.0432,-0.0075,9.7717,0.2051,-2.2384,0.3129,3.8762,-63.6843,-65.3587,0.00357967029584037,-0.03906744997664107,0.005461135229490257,-0.02033277015715336,-0.0014973064840005672,-0.02822289874912265
5248,-0.0474,-0.0051,9.787,0.0322,-0.958,0.0281,4.1368,-64.6546,-65.8637,0.0005619960191421741,-0.016720254234105676,0.0004904375198104066,-0.01015893398734547,0.00028522215669446146,-0.012889165606196684
5256,-0.0285,-0.0113,9.7861,0.2673,-0.653,0.2071,3.6036,-64.7348,-65.9574,0.004665265090580842,-0.011397000015522973,0.0036145768808802567,-0.005119767955106835,0.0024953865697703195,-0.01385363327208644
5264,-0.0403,-0.003,9.7896,0.4459,-0.4694,0.6971,3.4495,-64.4502,-66.1479,0.0077824231346427155,-0.008192575508861382,0.012166690215652472,-0.004352447291827814,0.001757330235726943,-0.010317716187465464
5272,-0.0249,-0.0077,9.8075,0.8549,-0.4189,0.7561,3.3406,-64.1535,-66.1673,0.014920819775299523,-0.007311184236604247,0.013196434474329126,-0.004630585238677494,-0.00010391012400572894,0.00753353789233735
5280,-0.0329,0.0065,9.8075,0.7107,-0.4899,0.7449,3.2578,-64.1675,-65.9198,0.0124040549939237,-0.00855036800552022,0.013000957598105762,-0.002831429592984219,0.001434217181503124,0.007556822982342837
5288,-0.023,-0.012,9.7956,0.405,-0.4803,0.7837,3.1915,-64.1,-65.6532,0.0070685834705770355,-0.008382816397328765,0.01367814534787956,0.0004043210310003533,-0.003126408852579186,-0.0043661551642220076
5296,-0.017,0.0031,9.7953,0.4349,-0.5719,0.7857,3.1362,-63.9787,-65.3746,0.007590436916923339,-0.00998153799215557,0.013713051932919447,-0.0017678100461029956,-0.002444490350230975,-0.004685222040357928
5304,-0.0225,0.0172,9.8065,0.2916,-0.7807,0.8968,3.1185,-63.731,-65.0436,0.0050893800988154655,-0.01362578547031973,0.01565211273188515,-2.9868759281433787e-05,-0.002070885884283909,0.006540677045064669
5312,-0.0288,0.0042,9.7842,0.3098,-0.6742,0.9882,3.1012,-63.4727,-64.7157,0.005407030022678433,-0.01176700981694577,0.017247343668207963,-0.0011847796785606133,-0.0010469443880513712,-0.01575683968327901
5320,-0.0253,0.0207,9.7929,0.2482,-0.6674,0.8173,3.0842,-63.207,-64.3905,0.004331907203449926,-0.011648327427810155,0.014264575976549655,-0.0009198993804150521,-0.00038469493678091015,-0.007045491998091791
5328,-0.0223,0.0114,9.7993,0.4787,-0.5689,0.8983,3.1019,-62.8902,-64.1022,0.008354891129296856,-0.00992917811459574,0.01567829267066506,-0.0020013950696010033,0.004966396719090126,-0.0006694581047312909
5336,-0.0202,0.0127,9.7909,0.4885,-0.4695,0.7742,2.9766,-62.6506,-63.8541,0.0085259333959923,-0.008194320838113377,0.0135123390689401,-0.0007608752928076009,-0.010059377132630208,-0.009076122755296012
5344,-0.0234,0.0209,9.7835,0.5706,-0.2586,0.8084,2.777,-62.3341,-63.6386,0.009958848711879645,-0.004513421445657336,0.01410924167312216,0.009862192682769645,0.003950969098930997,-0.016455460979459602
5352,-0.0005,0.0356,9.7919,0.5947,-0.2085,0.6634,2.7315,-62.1326,-63.4034,0.010379473061610278,-0.003639011490408177,0.011578514257730382,0.018872004410018645,0.010099011248172432,-0.008058666565585071
5360,0.0076,0.0373,9.795,0.4652,-0.2563,0.7609,2.69,-61.9208,-63.1611,0.008119271680277622,-0.004473278872861466,0.013280210278424853,0.012265755596653811,0.004884403005345422,-0.004934929065203875
5368,0.0055,0.0364,9.7953,0.4501,-0.2709,0.6709,2.7182,-61.6841,-62.7971,0.007855726963226478,-0.004728096943652638,0.011709413951629957,-0.004798285029665593,-0.002348815672969909,-0.004632280535574296
5376,0.0023,0.0255,9.7912,0.4015,-0.3151,0.7258,2.6796,-61.3796,-62.5118,0.007007496946757234,-0.005499532473034132,0.012667599710974843,-0.000324920867598702,-0.00036942155989919654,-0.008766536439134498
5384,-0.0015,0.032,9.8009,0.3612,-0.2799,0.5575,2.7409,-61.0625,-62.2487,0.006304129258203519,-0.0048851765763321285,0.009730210579868387,0.004282377635802421,-0.007370774606574979,0.0009486476015929668
5392,-0.0021,0.0325,9.8006,0.3354,-0.2077,0.5173,2.7598,-60.7704,-61.9482,0.005853834311188981,-0.0036250488563922224,0.009028588220566666,-0.004010095402822189,0.006490279231707369,0.0006511424195867477
5400,0.0081,0.0424,9.8078,0.4042,-0.1204,0.3385,2.7761,-60.4798,-61.6495,0.00705462083656108,-0.0021013764194011725,0.0059079395180008055,0.0004763847118519019,0.0011515220358512984,0.007894914662095687
5408,0.014,0.0461,9.8068,0.4085,-0.0679,0.2365,2.7381,-60.1973,-61.3656,0.007129669994396836,-0.00118507856210415,0.0041277036809665895,-0.006190343803389513,-0.00521773675313102,0.006915004468366348
5416,0.0123,0.0351,9.8004,0.4057,-0.1414,0.2679,2.7087,-59.9407,-61.0574,0.007080800775340995,-0.002467895562319982,0.004675737066092809,-0.001204058110406682,-0.0026363399574944398,0.0004701448428328092
5424,0.0099,0.0359,9.802,0.4263,-0.0634,0.2106,2.6808,-59.6832,-60.7521,0.007440338601251827,-0.0011065387457644049,0.003675663404700058,0.010264011102112263,0.004716743087424002,0.0020642327221427337
5432,-0.0024,0.0245,9.8062,0.4585,-0.0008,0.177,2.6025,-59.3907,-60.4553,0.008002334620394002,-1.3962634015954637e-05,0.0030892327760299633,0.002487153547346744,0.007680088697217055,0.0062275764080048646
5440,-0.0066,0.0281,9.7985,0.4212,0.0447,0.0113,2.5292,-59.1003,-60.1607,0.007351326809400116,0.0007801621756414653,0.00019722220547535924,0.0007057805025565858,-0.004787897525122427,-0.0014586800936964295
5448,0.0057,0.0368,9.7943,0.44,-0.0138,0.0427,2.4605,-58.8121,-59.8682,0.00767944870877505,-0.00024085543677521747,0.0007452555906015787,-0.002023999197358771,-0.001212205193090063,-0.005629491693413868
5456,0.0177,0.031,9.7882,0.4668,0.0216,-0.1486,2.4424,-58.4796,-59.6089,0.00814719694830953,0.0003769911184307752,-0.002593559268463574,-0.0028236018203325677,0.0013516419799694266,-0.011735407625277361
5464,0.0203,0.0312,9.7832,0.3939,0.0947,-0.1376,2.4248,-58.1523,-59.3495,0.006874851923605664,0.0016528268016386303,-0.0024015730507441976,0.0020242722972601507,-0.01447542951449493,-0.01674010698570605
5472,0.0204,0.0259,9.791,0.3921,0.0572,-0.1516,2.4175,-57.8541,-59.0806,0.006843435997069766,0.0009983283321407565,-0.002645919146023404,0.0005333986676335351,-0.004772551777586684,-0.008945669222574892
5480,0.0241,0.0156,9.787,0.3664,0.1509,-0.1107,2.41,-57.5589,-58.8126,0.0063948863793072235,0.002633701841259443,-0.0019320794819577228,0.00020383753672114494,-0.0004874840414118872,-0.012957909010017588
5488,0.0352,0.0113,9.7812,0.3601,0.1559,-0.1524,2.4116,-57.2575,-58.5728,0.00628493063643158,0.00272096830385916,-0.0026598817800393584,-0.002887711172067497,0.0008105287852408355,-0.018730594949996515
5496,0.0233,0.0216,9.786,0.4011,0.1342,-0.1594,2.3948,-56.9772,-58.2927,0.007000515629749256,0.0023422318561763904,-0.002782054827678961,-0.0021012822841235796,0.001160398024426569,-0.013948718298621543
5504,0.0067,0.019,9.7848,0.3466,0.2596,-0.2417,2.4043,-56.6947,-57.9887,0.006049311187412347,0.0045308747381772796,-0.004218460802070294,-0.002730586093736613,-0.0007159186706805009,-0.015179666373018819
5512,-0.0034,0.0144,9.787,0.3326,0.2275,-0.1517,2.3793,-56.4146,-57.688,0.00580496509213314,0.0039706240482871,-0.002647664475275398,0.0019431157539668775,0.0002251650011100762,-0.01298901126590657
5520,-0.0051,0.0162,9.7889,0.2792,0.2489,-0.239,2.3553,-56.1206,-57.3985,0.004872959271568168,0.004344124508213886,-0.004171336912266448,-0.001272345253074295,-0.013912283538976486,-0.011095235446189733
5528,-0.009,0.0265,9.7934,0.2258,0.2521,-0.2902,2.3399,-55.8692,-57.1196,0.003940953451003196,0.004399975044277704,-0.005064945489287545,0.00799198782172099,0.005044817349143746,-0.006564571717003531
5536,-0.0076,0.0339,9.7998,0.2206,0.1812,-0.3615,2.3404,-55.5956,-56.8581,0.0038501963298994907,0.003162536604613725,-0.006309365245959501,0.00019087471963181676,-0.0003788501997072907,-0.00013842801647889758
5544,-0.0176,0.0375,9.7955,0.0943,0.2101,-0.3246,2.3065,-55.3204,-56.6016,0.0016458454846306526,0.0036669367584400863,-0.0056653387519735934,0.005362196122931034,-0.001790901002329616,-0.0044140400113725775
5552,-0.0066,0.0357,9.7925,0.2075,0.184,-0.2727,2.2739,-55.0475,-56.3463,0.0036215581978882336,0.0032114058236695662,-0.004759512870188536,0.0013032085893024666,-0.0005111718680612862,-0.007432801335969685
5560,-0.0136,0.0327,9.7976,0.1389,0.1398,-0.2038,2.2675,-54.784,-56.11,0.0024242623310201236,0.0024399702942880727,-0.0035569810155644437,0.007810969800058895,0.004554590496158849,-0.002340164383324961
5568,-0.0171,0.0296,9.7912,0.2046,0.0865,-0.1635,2.254,-54.5153,-55.8636,0.003570943649580398,0.001509709802975095,-0.002853613327010729,-0.010404798456754323,-0.0038681568383997496,-0.00874661815292832
5576,-0.0176,0.0317,9.7978,0.2005,0.1303,-0.2473,2.2408,-54.2487,-55.618,0.003499385150248631,0.0022741640153486112,-0.0043161992401819765,0.004744025615577616,0.0004762823555243276,-0.0021340712695980812
5584,-0.013,0.0296,9.8023,0.1551,0.147,-0.2467,2.2412,-53.9709,-55.3366,0.002707005669843205,0.0025656340004316645,-0.004305727264670011,-0.005889389089319825,0.0008503850824496508,0.0023515057327614386
5592,-0.0112,0.0262,9.8019,0.1146,0.185,-0.2379,2.2412,-53.6956,-55.0576,0.0020001473227855017,0.0032288591161895096,-0.00415213829049451,0.009478584972958047,0.005592721379722919,0.001935235854931605
5600,0.0005,0.0123,9.7928,0.1256,0.1991,-0.2406,2.2409,-53.4228,-54.7812,0.0021921335405048776,0.00347495054072071,-0.0041992621802983575,0.006859365497474462,-0.0027428607709459652,-0.007195049128174702
5608,0.0007,0.0243,9.797,0.1689,0.1495,-0.2266,2.256,-53.184,-54.5166,0.0029478611066184224,0.0026092672317315226,-0.003954916085019151,-0.002245926057930335,-0.0034498310271481405,-0.0029707036019317457
5616,0.0021,0.021,9.7998,0.1747,0.198,-0.1531,2.2701,-52.9462,-54.254,0.0030490902032340936,0.0034557519189487725,-0.0026720990848033187,0.001368872678405844,0.008563611811362776,-0.000181111839857806
5624,0.0003,0.0222,9.8069,0.1365,0.1187,-0.1377,2.2743,-52.6945,-54.0084,0.00238237442897226,0.0020717058221172693,-0.0024033183799961914,0.0004262369005980282,-0.00610892793373476,0.006923219813725012
