Timestamp_ms,AccX_Filt,AccY_Filt,AccZ_Filt,GyrX_Filt,GyrY_Filt,GyrZ_Filt,MagX_Filt,MagY_Filt,MagZ_Filt
5233,-0.1632,0.0464,9.8416,0.5750,-0.7596,0.6688,3.3750,-59.9400,-59.2650
5240,-0.1090,0.0371,9.7699,0.2416,-0.8832,-1.6127,3.5180,-62.4803,-61.7767
5248,-0.0631,0.0307,9.7732,0.7407,-0.7618,-0.8091,3.4606,-63.5564,-63.5190
5256,-0.0437,0.0262,9.7947,0.7457,-0.0263,-0.7586,3.6779,-64.1304,-64.1052
5264,-0.0470,0.0033,9.8026,0.5762,-0.1013,-0.4570,3.7731,-63.9404,-64.0696
5272,-0.0554,0.0051,9.8106,0.6488,0.2310,-0.4413,3.8308,-63.7566,-63.9404
5280,-0.0529,-0.0082,9.7987,0.7545,0.0943,0.1414,3.8670,-63.5350,-63.7580
5288,-0.0476,-0.0225,9.7792,0.4480,-0.0481,0.0445,3.9082,-63.3275,-63.5244
5296,-0.0518,-0.0222,9.7715,0.4701,-0.0391,0.1386,3.8045,-63.1136,-63.2077
5304,-0.0637,-0.0195,9.7889,0.3463,-0.1928,0.2142,3.7475,-62.9998,-62.8926
5312,-0.0442,-0.0127,9.8022,0.3451,-0.1949,0.3653,3.6976,-62.8514,-62.5792
5320,-0.0493,-0.0108,9.8172,0.2451,-0.1032,0.2555,3.6531,-62.6776,-62.2676
5328,-0.0440,-0.0187,9.8178,0.2629,-0.0508,0.3678,3.6470,-62.4273,-62.0152
5336,-0.0514,-0.0189,9.8220,0.2783,0.2708,0.2029,3.6395,-62.1705,-61.7565
5344,-0.0553,-0.0256,9.8140,0.2135,0.1193,0.3578,3.6802,-61.7996,-61.5925
5352,-0.0532,-0.0121,9.8089,0.2879,0.0471,0.2577,3.7137,-61.4388,-61.4128
5360,-0.0529,-0.0159,9.7937,0.3916,-0.0296,0.1689,3.7413,-61.0867,-61.2205
5368,-0.0569,-0.0076,9.8097,0.3637,-0.0297,0.2343,3.7308,-60.8167,-60.9018
5376,-0.0519,-0.0079,9.8062,0.2918,-0.0493,0.2311,3.7117,-60.5614,-60.6184
5384,-0.0508,-0.0134,9.7993,0.2982,-0.0482,0.4088,3.6331,-60.2813,-60.3353
5392,-0.0479,-0.0183,9.7800,0.3113,-0.0289,0.4319,3.5606,-60.0016,-60.0529
5400,-0.0500,-0.0175,9.7851,0.2451,-0.0149,0.5951,3.4796,-59.7566,-59.7576
5408,-0.0490,-0.0085,9.7837,0.2363,-0.0020,0.5371,3.4825,-59.4768,-59.4318
5416,-0.0459,-0.0096,9.7828,0.1739,0.0303,0.5480,3.4278,-59.1606,-59.1794
5424,-0.0467,-0.0042,9.7857,0.1727,-0.0063,0.6377,3.4899,-58.9024,-58.9020
5432,-0.0383,-0.0034,9.7810,0.2106,-0.0435,0.8089,3.5460,-58.6439,-58.6256
5440,-0.0362,0.0092,9.7813,0.1595,0.0308,0.8242,3.5024,-58.3964,-58.3392
5448,-0.0292,0.0000,9.7839,0.1685,-0.0071,0.7911,3.4500,-58.1267,-58.0709
5456,-0.0308,0.0040,9.7895,0.1676,-0.0239,0.7757,3.4621,-57.8788,-57.7621
5464,-0.0330,0.0132,9.7941,0.1974,-0.0366,0.7337,3.4724,-57.6306,-57.4570
5472,-0.0182,0.0251,9.7904,0.2103,0.0182,0.6337,3.4809,-57.3822,-57.1554
5480,-0.0112,0.0226,9.7971,0.1744,-0.0891,0.5636,3.4458,-57.1293,-56.9087
5488,-0.0153,0.0176,9.7964,0.1287,-0.1130,0.5096,3.4119,-56.8768,-56.6619
5496,-0.0314,0.0103,9.8044,0.0681,-0.1591,0.3380,3.3613,-56.6204,-56.3757
5504,-0.0213,0.0074,9.8153,0.0954,-0.1967,0.2111,3.3128,-56.3650,-56.0920
5512,-0.0154,0.0148,9.8082,0.0459,-0.0732,0.1260,3.2661,-56.1105,-55.8107
5520,-0.0168,0.0243,9.8073,-0.0037,0.0207,0.0971,3.2739,-55.8449,-55.5238
5528,-0.0141,0.0109,9.7983,0.0007,0.0354,0.0898,3.2805,-55.5809,-55.2593
5536,-0.0156,0.0030,9.7997,-0.0548,0.0493,0.0998,3.2398,-55.2955,-55.0197
5544,-0.0102,0.0067,9.7965,-0.0340,-0.0052,0.1038,3.2004,-55.0129,-54.7805
5552,-0.0076,-0.0018,9.8012,0.0139,-0.1020,0.2395,3.1805,-54.7587,-54.5309
5560,-0.0130,-0.0054,9.8078,-0.0134,-0.1855,0.2090,3.1788,-54.5238,-54.2645
5568,-0.0065,-0.0118,9.8106,0.0164,-0.0977,0.2218,3.1415,-54.2475,-54.0176
5576,-0.0211,-0.0162,9.8209,0.0087,-0.0724,0.2257,3.1464,-53.9771,-53.7615
5584,-0.0157,-0.0275,9.8124,-0.0319,-0.0983,0.2459,3.1504,-53.7090,-53.5072
5592,-0.0217,-0.0232,9.8125,-0.0925,-0.1531,0.2955,3.1143,-53.4727,-53.2642
5600,-0.0266,-0.0120,9.8130,-0.0981,-0.1972,0.2905,3.0792,-53.2373,-53.0225
5608,-0.0311,-0.0096,9.8117,-0.0786,-0.2062,0.2336,3.0607,-53.0029,-52.7380
5616,-0.0247,-0.0005,9.8227,-0.0054,-0.1217,0.2287,3.0424,-52.7694,-52.4566
5624,-0.0371,0.0044,9.8168,-0.0475,-0.0822,0.1721,3.0243,-52.5370,-52.1781
5632,-0.0283,0.0007,9.8042,-0.0605,-0.1753,0.1154,2.9916,-52.2968,-51.9676
5640,-0.0281,0.0037,9.7941,-0.0293,-0.1444,0.1511,2.9596,-52.0579,-51.7574
